ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
1001FBEEFF	TILJSZO	ISO	*p4{ISO=1}	1		v115@GhwhIewhBeR4CeRpwhAeR4DeRpwhJeAgH		[^ISO]!,*p3	92.78%	4676/5040	1001FBFAFF
1001FBFAFF	TILJSZO	IZO	*p4{IZO=1}	1		v115@9gwhIewhIewhRpCeBtBewhRpDeBtKeAgH		[^IZO]!,*p3	92.78%	4676/5040	1001FBEEFF
1001FEAFFE	TILJSZO	LJS	*p4{LJS=1}	5D753CFF553CFF5FFFFFF5D7		v115@Ehi0GeglQ4g0GeglR4GehlQ4JeAgHEhwhBPGewwAeA?PGeAtAeQLGeBtQaJeAgH		[^LJS]!,*p3	81.31%	4098/5040	1001FEBBFE
1001FEAFFF	TILJSZO	LJS	*p4{LJS=1}	B2CAFF3CAFFFFFF03CFF0B2C		v115@9gQ4IeR4Heg0Q4Gegli0DeilJeAgH		[^LJS]!,*p3	78.97%	3980/5040	1001FEBBFF
1001FEBBFE	TILJSZO	LJZ	*p4{LJZ=1}	5D751E7FD51E7FD5FFFFFFD7		v115@9gilGeglAtg0GeBtg0GeAth0QeAgH9gBtglGeAtAeg?WGeglAeAPGegWBPQeAgH		[^LJZ]!,*p3	81.31%	4098/5040	1001FEAFFE
1001FEBBFF	TILJSZO	LJZ	*p4{LJZ=1}	E38FFFFFFAFF8F2E03FCF038		v115@GhAtHeBtg0GeAtgli0DeilJeAgH		[^LJZ]!,*p3	78.97%	3980/5040	1001FEAFFF
1001FEBEFE	TILJSZO	LJO	*p4{LJO=1}	F3CFFFFFFFFFFFFF3C0FFFF0		v115@Ehi0GeRpg0GeRpglGeilJeAgH9gilDeiHglRpDexSg?Hg0RpDexSgWi0DeiWJeAgH		[^LJO]!,*p3	88.57%	4464/5040	NULL
1001FEBEFF	TILJSZO	LJO	*p4{LJO=1}	5D750F5FF50F5FF5D7FFFFFF		v115@Ehi0glHeg0glGeRphlFeRpJeAgH9gilDeiHJewhQpF?ewSQpxhFeRpJeAgH		[^LJO]!,*p3	76.83%	3872/5040	NULL
1001FEEBFD	TILJSZO	LSZ	*p4{LSZ=1}	410547BFD400780003FC0010		v115@EhR4AtFeR4BtHeAtglGeilJeAgH		[^LSZ]!,*p3	99.01%	4990/5040	1001FFABFD
1001FEEBFE	TILJSZO	LSZ	*p4{LSZ=1}	1C7007BFC1D479FF7FFFFFC7		v115@9gilGeglAtHeBtR4FeAtR4QeAgH		[^LSZ]!,*p3	98.49%	4964/5040	1001FFABFE
1001FEEBFF	TILJSZO	LSZ	*p4{LSZ=1}	E38FFFFFFE2BFE3C83FC3C38		v115@GhAtHeBtFeR4AtglEeR4ilJeAgH		[^LSZ]!,*p3	86.90%	4380/5040	1001FFABFF
1001FEEEFE	TILJSZO	LSO	*p4{LSO=1}	1C7003CFF1D43D7FC7FFFFFF		v115@GhglFeQ4ilFeR4RpGeQ4RpJeAgH		[^LSO]!,*p3	89.60%	4516/5040	1001FFBAFE
1001FEEEFF	TILJSZO	LSO	*p4{LSO=1}	E38FFFFFFE2BFE8F380FF0F0		v115@HhglRpGeglRpR4EehlR4PeAgH		[^LSO]!,*p3	88.25%	4448/5040	1001FFBAFF
1001FEFAFC	TILJSZO	LZO	[LSZO]!{L<Z||LZ<S}	1		v115@GhAtHeBtRpFeAtglRpEeilJeAgH	10002666FF:1001BEEAFC:1001BEEAFD	NULL	NULL	NULL	1001FFAEFC
