ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
6781BDEBFF	LLJSZO	LLSZ	L,[LJSZO]p4{LSZ=1}	1BC1D9F7FFC7		v115@9gilGeglAtHeBtR4EeglAtR4DeilJeAgH		[JO]!,*p5	96.15%	4846/5040	6981BF6BFF
6781BDEEFF	LLJSZO	LLSO	L,[LJSZO]p4{LSO=1}	3C637FFCD67D		v115@9gilGeglR4GeR4glRpEeilRpOeAgH		[JZ]!,*p5	95.20%	4798/5040	6981BF7AFF
6781BDFAFF	LLJSZO	LLZO	L,[LJSZO]p4{LZO=1}	00F0C300FFFF		v115@9gilGeglBtGeRpBtglEeRpilOeAgH		[JS]!,*p5	96.51%	4864/5040	6981BF6EFF
6781BEABFF	LLJSZO	LJSZ	L,[LJSZO]p4{JSZ=1}	CBFFCF62F6B2		v115@9gQ4HeAtR4FeBtg0Q4FeAtgli0DeilJeAgH		[LO]!,*p5	93.41%	4708/5040	6981BEABFF
6781BEAEFF	LLJSZO	LJSO	L,[LJSZO]p4{JSO=1}	34F1BFFCD5BD		v115@Ehi0GeglQ4g0EeRpglR4EeRphlQ4JeAgH		[LZ]!,*p5	96.51%	4864/5040	6981BEBAFF
6781BEBAFF	LLJSZO	LJZO	L,[LJSZO]p4{JZO=1}	343CCDFFF4DF		v115@Ehh0AtGeg0BtEeRpg0AtglEeRpilJeAgH		[LS]!,*p5	95.20%	4798/5040	6981BEAEFF
680DBA7FFF	TILJJS	ILJJ	J,[TILJS]p4{ILJ=1}	1		v115@9gilFewhglg0Gewhj0Eewhi0FewhJeAgH		[TS]!,*p5	99.01%	4990/5040	6615B9BFFF
680DBAAFFD	TILJJS	ILJS	J,[TILJS]p4{ILS=1}	4D37C33D3FFF		v115@9gQ4hlFewhR4glFewhg0Q4glFewhi0FewhJeAgH		[TJ]!,*p5	100.00%	5040/5040	6615BABBFD
680DBAAFFE	TILJJS	ILJS	J,[TILJS]p4{ILS=1}	82F98F020180		v115@FhR4GeR4glg0Feili0CezhJeAgH		[TJ]!,*p5	99.92%	5036/5040	6615BABBFE
680DBAAFFF	TILJJS	ILJS	J,[TILJS]p4{ILS=1}	1		v115@9gQ4HewhR4Gewhg0Q4Feglwhi0CeilwhJeAgH		[TJ]!,*p5	98.89%	4984/5040	6615BABBFF
680DBB6FFF	TILJJS	IJJS	J,[TILJS]p4{IJS=1}	1		v115@Ehh0whGeh0whCeR4Beh0whBeR4Ceh0whJeAgH		[TL]!,*p5	99.33%	5006/5040	6615B9FBFF
680DBE6FFF	TILJJS	LJJS	J,[TILJS]p4{LJS=1}	B2CAF3FFF03F		v115@9gilR4Eeglg0R4Fej0Fei0QeAgH		[TI]!,*p5	99.88%	5034/5040	6615BDBBFF
680DFBAFFF	TILJJS	IJS	J,[TILJS]p3{IS=1}	1		v115@9gQ4HewhR4Gewhg0Q4Gewhi0FewhJeAgH		[TLJ]!,*p4	100.00%	5040/5040	6615FAFBFF
680DFEAFFE	TILJJS	LJS	J,[TILJS]p3{LS=1}	1477F		v115@9gQ4hlGeR4glGeg0Q4glGei0QeAgH		[TIJ]!,*p4	100.00%	5040/5040	6615FEBBFE
680DFEAFFF	TILJJS	LJS	J,[TILJS]p3{LS=1}	2BF8E		v115@Nhh0R4Feg0R4glFeg0ilJeAgH		[TIJ]!,*p4	99.52%	5016/5040	6615FEBBFF
680DFF6FFF	TILJJS	JJS	J,[TILJS]p3{JS=1}	1		v115@9gQ4IeR4Geh0Q4Gej0Eeh0JeAgH		[TIL]!,*p4	99.52%	5016/5040	6615FDFBFF
6815BA7FFF	TILJJZ	ILJJ	J,[TILJZ]p4{ILJ=1}	1		v115@Ehh0whGeh0whFeglh0whDeilh0whJeAgH		[TZ]!,*p5	99.68%	5024/5040	660DB9BFFF
6815BABBFE	TILJJZ	ILJZ	J,[TILJZ]p4{ILZ=1}	4D37C33D3FFF		v115@DhilwhFeglAtg0whFeBtg0whFeAth0whJeAgH		[TJ]!,*p5	100.00%	5040/5040	660DBAAFFE
6815BABBFF	TILJJZ	ILJZ	J,[TILJZ]p4{ILZ=1}	B6F9BFFED5BD		v115@9gwhIewhglHewhglBtCei0whhlBtDeg0JeAgH		[TJ]!,*p5	99.92%	5036/5040	660DBAAFFF
6815BB7BFF	TILJJZ	IJJZ	J,[TILJZ]p4{IJZ=1}	1		v115@Ehh0whGeh0whDeBtAeh0whEeBth0whJeAgH		[TL]!,*p5	99.29%	5004/5040	660DB9EFFF
6815BE7BFE	TILJJZ	LJJZ	J,[TILJZ]p4{LJZ=1}	E38FFFAF30F3		v115@EhAth0FeBth0FeAtglh0Eeilh0JeAgH		[TI]!,*p5	100.00%	5040/5040	660DBDAFFE
6815BE7BFF	TILJJZ	LJJZ	J,[TILJZ]p4{LJZ=1}	1C703F53FFFF		v115@9gilEeh0glAtFeh0BtFeh0AtGeh0JeAgH		[TI]!,*p5	99.88%	5034/5040	660DBDAFFF
6819BA7FFF	TILJJO	ILJJ	J,[TILJO]p4{ILJ=1}	1		v115@Ehh0whGeh0whFeglh0whDeilh0whJeAgH		[TO]!,*p5	99.44%	5012/5040	6619B9BFFF
6819BABEFF	TILJJO	ILJO	J,[TILJO]p4{ILO=1}	1		v115@9gwhilFewhglRpFewhg0RpFewhi0PeAgH		[TJ]!,*p5	100.00%	5040/5040	6619BABEFF
6819BB7EFF	TILJJO	IJJO	J,[TILJO]p4{IJO=1}	1		v115@9gwhRpg0FewhRpg0Fewhi0Fewhi0PeAgH		[TL]!,*p5	100.00%	5040/5040	6619B9FEFF
6819BE7EFF	TILJJO	LJJO	J,[TILJO]p4{LJO=1}	1		v115@9gRpg0GeRpg0Gei0Fegli0DeilJeAgH		[TI]!,*p5	100.00%	5040/5040	6619BDBEFF
6845BB6FFF	TIJJSZ	IJJS	J,[TIJSZ]p4{IJS=1}	1		v115@9gQ4HewhR4Gewhg0Q4Dei0whi0Eeg0whJeAgH		[TZ]!,*p5	97.90%	4934/5040	6625B9FBFF
6845BB7BFE	TIJJSZ	IJJZ	J,[TIJSZ]p4{IJZ=1}	4D37C33D3FFF		v115@9gzhFeh0Atg0Feg0Btg0Feg0Ath0PeAgH		[TS]!,*p5	98.65%	4972/5040	6625B9EFFE
