ID	Leftover	Build	Cover Dependece	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
703DEAFFFD	TIL	TIL	[TIL]!	1		v115@MhwwCeglEexwilEewwzhJeAgH		*p7	100.00%	5040/5040	705DEBBFFD
703DEAFFFE	TIL	TIL	[TIL]!	1		v115@LhglCewwEeglBexwAezhhlBewwKeAgH		*p7	100.00%	5040/5040	705DEBBFFE
703DEAFFFF	TIL	TIL	[TIL]!	1		v115@JhglAewwEeilAexwDezhwwOeAgH		*p7	100.00%	5040/5040	705DEBBFFF
705DEBBFFD	TIJ	TIJ	[TIJ]!	1		v115@Hhg0CewwEei0xwEezhwwOeAgH		*p7	100.00%	5040/5040	703DEAFFFD
705DEBBFFE	TIJ	TIJ	[TIJ]!	1		v115@IhwwCeg0EexwBeg0EewwBeh0zhJeAgH		*p7	100.00%	5040/5040	703DEAFFFE
705DEBBFFF	TIJ	TIJ	[TIJ]!	1		v115@MhwwAeg0FexwAei0EewwzhJeAgH		*p7	100.00%	5040/5040	703DEAFFFF
706DEBEFFF	TIS	TIS	[TIS]!	1		v115@ShR4wwFeR4ywzhKeAgH		*p7	100.00%	5040/5040	7075EBFBFF
7075EBFBFF	TIZ	TIZ	[TIZ]!	1		v115@XhwwBtBezhywBtJeAgH		*p7	100.00%	5040/5040	706DEBEFFF
7079EBFEFF	TIO	TIO	[TIO]!	1		v115@WhwwAeRpAezhywRpKeAgH		*p7	100.00%	5040/5040	NULL
709DEEBFFE	TLJ	TLJ	[TLJ]!	1		v115@HhglCeg0Eeglywg0Eehlwwh0OeAgH		*p7	100.00%	5040/5040	NULL
709DEEBFFF	TLJ	TLJ	[TLJ]!	1		v115@MhwwCeg0DeywglAeg0Eeilh0JeAgH		*p7	100.00%	5040/5040	NULL
70ADEEEFFF	TLS	TLS	[TLS]!	1		v115@HhglQ4GewwglR4EexwhlQ4FewwJeAgH		*p7	100.00%	5040/5040	70D5EFBBFF
70B5EEFBFF	TLZ	TLZ	[TLZ]!	1		v115@MhglCewwEeglBtxwEehlBtwwJeAgH		*p7	100.00%	5040/5040	70CDEFAFFF
70B9EEFEFE	TLO	TLO	[TLO]!	1		v115@HhwwGehlxwEeRpglwwFeRpglJeAgH		*p7	100.00%	5040/5040	70D9EFBEFE
70B9EEFEFF	TLO	TLO	[TLO]!	1		v115@JhglAewwEeRpglAexwDeRphlwwOeAgH		*p7	100.00%	5040/5040	70D9EFBEFF
70CDEFAFFF	TJS	TJS	[TJS]!	1		v115@HhwwCeg0EexwR4g0EewwR4h0OeAgH		*p7	100.00%	5040/5040	70B5EEFBFF
70D5EFBBFF	TJZ	TJZ	[TJZ]!	1		v115@HhwwGeAtg0xwEeBtg0wwFeAth0JeAgH		*p7	100.00%	5040/5040	70ADEEEFFF
70D9EFBEFE	TJO	TJO	[TJO]!	1		v115@Hhh0Gewwg0RpEexwg0RpFewwJeAgH		*p7	100.00%	5040/5040	70B9EEFEFE
