ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
31F5BEEAFD	Z	LSZO	Z,*p4{LSO=1}	001101001101000000111111110000011110001101111111111111111111111111001101010100011110011111111101		v115@OhQ4hlRpCeBtR4glRpDeBtQ4glJeAgH		[^LSO]!,*p3	90.60%	4566/5040	31EDBFAAFD
31F5BEEAFE	Z	LSZO	Z,*p4{LSO=1}	111000111000111111111111111111111111111000101011111111101000111100111000000011111111000011110000		v115@HhglRpGeglRpR4BtCehlR4BeBtLeAgH		[^LSO]!,*p3	90.16%	4544/5040	31EDBFAAFE
31F5BEEAFF	Z	LSZO	Z,*p4{LSO=1}	1		v115@9gilGeglAtHeBtR4CeRpAeAtR4DeRpKeAgH		[^LSO]!,*p3	77.74%	3918/5040	31EDBFAAFF
31F5BEF6FC	Z	LZZO	Z,*p4{LZO=1}	000000000000111111111111111111111111000000000000000000000000000000000000000000000000000000000000		v115@9gBtHeglBtRpEeglBtRpEehlBtPeAgH		[^LZO]!,*p3	100.00%	5040/5040	31EDBF9EFC
31F5BEF6FD	Z	LZZO	Z,*p4{LZO=1}	000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111		v115@9gilGeglDtEeRpDtDeRpReAgH		[^LZO]!,*p3	93.73%	4724/5040	31EDBF9EFD
31F5BEF6FE	Z	LZZO	Z,*p4{LZO=1}	110010110010111111111111111111111111110010110010000011111111000000111100101011111111101000111100		v115@GhAtFeRpBtDeBtRpAtglEeBtilJeAgH		[^LZO]!,*p3	91.39%	4606/5040	31EDBF9EFE
31F5BEF6FF	Z	LZZO	Z,*p4{LZO=1}	1		v115@FhhlIeglRpCeDtglRpDeDtJeAgH		[^LZO]!,*p3	86.27%	4348/5040	31EDBF9EFF
31F5BFA7FE	Z	JSZZ	Z,*p4{JSZ=1}	100000100000100000101010111111110001111010000000111111110000000000000000000111100000000000100000		v115@9gQ4BtGeR4BtFeg0Q4BtFei0BtOeAgH		[^JSZ]!,*p3	100.00%	5040/5040	31EDBEDBFE
31F5BFA7FF	Z	JSZZ	Z,*p4{JSZ=1}	001101001101001101000000111111110001111000111111111111111111111111010101000111101111111101001101		v115@ChBti0FeBtQ4g0FeBtR4GeBtQ4JeAgH		[^JSZ]!,*p3	97.14%	4896/5040	31EDBEDBFF
31F5BFAAFD	Z	JSZO	Z,*p4{JSO=1}	110010110010110010111111111111111111111111000000111111110000011110110010101010111111110001111010		v115@9gQ4IeR4Heg0Q4BtDeRpi0BtCeRpJeAgH		[^JSO]!,*p3	99.29%	5004/5040	31EDBEEAFD
31F5BFAAFE	Z	JSZO	Z,*p4{JSO=1}	001101001101001101000000111111110000011110111111111111111111111111001101010101000111101111111101		v115@Ehi0HeQ4g0RpDeBtR4RpEeBtQ4JeAgH		[^JSO]!,*p3	96.23%	4850/5040	31EDBEEAFE
31F5BFAAFF	Z	JSZO	Z,*p4{JSO=1}	1		v115@Hhh0AtGeg0BtR4CeRpg0AtR4DeRpJeAgH		[^JSO]!,*p3	90.20%	4546/5040	31EDBEEAFF
31F5BFB6FF	Z	JZZO	Z,*p4{JZO=1}	111000111000111000111111111111111111111111111000101010111111111000011110000000111111110000011110		v115@9gRpHeRpHeg0DeDtAei0CeDtJeAgH		[^JZO]!,*p3	93.57%	4716/5040	31EDBEDEFF
31F5BFE6FF	Z	SZZO	Z,*p4{SZO=1}	1		v115@ChR4GeR4GeDtAeRpDeDtRpJeAgH		[^SZO]!,*p3	91.83%	4628/5040	31EDBFDAFF
